Date,PMMoV_gc_g_dry_weight,Plant,Population_Served,SC2_N_gc_g_dry_weight,SC2_Norm
11/23/2020,3517869857.665261,Davis,68000,83973.74640787623,2.3870623361720353e-05
11/24/2020,6381247580,Davis,68000,220746.23532094172,3.4592958910409e-05
11/25/2020,1377430120.097324,Davis,68000,56398.50775669101,4.094473246505319e-05
11/26/2020,1729965214.170154,Davis,68000,61809.23121896793,3.5728597727103525e-05
11/27/2020,1730899909.067688,Davis,68000,77503.49180076628,4.477641450828423e-05
11/28/2020,2539778137.083333,Davis,68000,149900.75429166667,5.902120035721382e-05
11/29/2020,1491731527.1910114,Davis,68000,486623.77588014986,0.000326214
11/30/2020,3131433696.4868608,Davis,68000,74698.29913139695,2.3854344805448248e-05
12/1/2020,2660636114.4755974,Davis,68000,254234.90814537907,9.555418223565982e-05
12/2/2020,109091369.29166669,Davis,68000,30344.19069583333,0.000278154
12/3/2020,2123852144,Davis,68000,37596.36001,1.7701966736574882e-05
12/4/2020,3818164405.333334,Davis,68000,96790.26689122808,2.5349947413481814e-05
12/5/2020,2288429784.098765,Davis,68000,51849.39820246913,2.2657194274758397e-05
12/6/2020,4275426182.564104,Davis,68000,241569.96898461532,5.650196230022112e-05
12/7/2020,2415592329.696969,Davis,68000,113639.3044169697,4.704407404341506e-05
12/8/2020,2238461725.8956923,Davis,68000,74967.21781405897,3.349050687210735e-05
12/9/2020,6199998233.484163,Davis,68000,137939.93643438915,2.2248383183308127e-05
12/10/2020,1929915627.096774,Davis,68000,37168.577152688165,1.925917207510356e-05
12/11/2020,1041688216,Davis,68000,102591.55272533334,9.848585317376563e-05
12/12/2020,5051909826.415095,Davis,68000,430596.21368553466,8.5234342749758e-05
12/13/2020,4283514977.935943,Davis,68000,402856.7204744958,9.4048164311221e-05
12/14/2020,4550333960.493828,Davis,68000,185194.87496296305,4.0699183086523316e-05
12/15/2020,586578055.3359684,Davis,68000,178050.32642951253,0.000303541
12/16/2020,4818030728.533334,Davis,68000,173278.89,3.596467099261282e-05
12/17/2020,6916431580.804152,Davis,68000,189370.93337483788,2.737986072188114e-05
